FIRST_VIEWED_TAB,WINDOW_DAYS,TOTAL_DEALERS,AVG_PCT_LISTINGS_REPRICED_PRE,AVG_PCT_LISTINGS_REPRICED_POST,AVG_PCT_PT_LIFT_LISTINGS_REPRICED,MEDIAN_PCT_PT_LIFT_LISTINGS_REPRICED,TOTAL_REPRICE_EVENTS_PRE,TOTAL_REPRICE_EVENTS_POST,PCT_LIFT_REPRICE_EVENTS,MEDIAN_PCT_LIFT_VDPS_PER_UNIT,MEDIAN_PCT_LIFT_VDPS_PER_UNIT_GAP,MEDIAN_DAYS_TO_FIRST_REPRICE_POST
Competitors,30,34,75.0,73.5,-1.5,0.9,8450,7342,-13.1,1.1,8.5,2.000
Performance,30,49,70.3,73.8,3.4,5.3,10845,10445,-3.7,-6.3,4.9,3.000
