FIRST_VIEWED_TAB,WINDOW_DAYS,TOTAL_DEALERS,AVG_PCT_LISTINGS_REPRICED_PRE,AVG_PCT_LISTINGS_REPRICED_POST,AVG_PCT_PT_LIFT_LISTINGS_REPRICED,MEDIAN_PCT_PT_LIFT_LISTINGS_REPRICED,TOTAL_REPRICE_EVENTS_PRE,TOTAL_REPRICE_EVENTS_POST,PCT_LIFT_REPRICE_EVENTS,MEDIAN_PCT_LIFT_VDPS_PER_UNIT,MEDIAN_PCT_LIFT_VDPS_PER_UNIT_GAP,MEDIAN_DAYS_TO_FIRST_REPRICE_POST
Competitors,14,34,59.7,67.6,7.8,4.4,3479,4447,27.8,9.3,6.0,2.000
Performance,14,50,61.6,64.8,3.2,5.3,5478,5719,4.4,1.9,3.6,3.000
