 ,,,,,,,,,,,,,,,,,,,,
,,DO NOT EDIT THIS PAGE ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,SPID,SALESFORCE_ACCOUNT_ID,STORE_NAME,ULTIMATE_PARENT_ID,GROUP_NAME,ACCOUNT_TYPE,ACCOUNT_CATEGORY,CUSTOMER_SUCCESS_MANAGER,FIELD_ACCOUNT_MANAGER,OWNER_NAME,STATE,TAX IMPLICATED?,RECRUITMENT METHOD,INCLUDED IN BETA? ,Added/Removed,,,,,
,66446,0014S000007md3LQAQ,Harte Nissan,369562,Harte Auto Group,Franchise,Franchise - Large,,Odalyz M. Guzman,Charlie Segar,CT,N,Painted Door Test,N,Removed on 7/1,,,,,
,63840,0014S000007mdXCQAY,Hoffman Audi of New London,365193,Hoffman Auto Group,Franchise,Franchise - Large,,Will Walker,Charlie Segar,CT,N,Painted Door Test,N,Removed on 7/1,,,,,
,55378,0014S000007mdXFQAY,Hoffman Ford,365193,Hoffman Auto Group,Franchise,Franchise - Large,,Will Walker,Charlie Segar,CT,N,Painted Door Test,N,Removed on 7/1,,,,,
,67362,0014S000007mbpHQAQ,Harte Infiniti,369562,Harte Auto Group,Franchise,Franchise - Large,,Odalyz M. Guzman,Charlie Segar,CT,N,Painted Door Test,Y,,,,,,
,273996,0014S000007mekaQAA,George Harte Infiniti,369562,Harte Auto Group,Franchise,Franchise - Large,,Odalyz M. Guzman,Charlie Segar,CT,N,Painted Door Test,N,Removed on 7/1,,,,,
,58711,0014S000007mdguQAA,Hoffman Honda,365193,Hoffman Auto Group,Franchise,Franchise - Large,,Will Walker,Charlie Segar,CT,N,Painted Door Test,N,Removed on 7/1,,,,,
,55841,0014S000007mhyVQAQ,Bill Estes Ford,315350,Asbury Automotive Group Inc,Franchise - Large,National,,Alex Bettina,Dan Reiss,IN,N,NSD Selection,N,,,,,,
,287087,0014S000007mdFHQAY,Hoffman Audi of East Hartford,365193,Hoffman Auto Group,Franchise,Franchise - Large,,Will Walker,Charlie Segar,CT,N,Painted Door Test,N,Removed on 7/1,,,,,
,58223,0014S000007mfGkQAI,Front Royal Ford,448619,Aschenbach Auto Group,Franchise,Franchise - Large,Sergey Marchenko,,Chris Bowman,VA,N,Painted Door Test,N,Removed on 7/1,,,,,
,304494,0014S000007mcxyQAA,Lee Johnson Mazda of Kirkland,405101,Lee Johnson Auto Group,Franchise,Franchise - Large,,Ryan LeClair,Cole Lancaster,WA,N,Painted Door Test,N,Removed on 7/1,,,,,
,64657,0014S000007miadQAA,Lee Johnson Mazda of Seattle,405101,Lee Johnson Auto Group,Franchise,Franchise - Large,,Ryan LeClair,Cole Lancaster,WA,N,Painted Door Test,N,Removed on 7/1,,,,,
,412815,0014S000007mVDCQA2,Autoright Motors Lake Stevens,405101,Lee Johnson Auto Group,Independent,Franchise - Large,,Ryan LeClair,Cole Lancaster,WA,N,Painted Door Test,N,Removed on 7/1,,,,,
,289297,0014S000007mczOQAQ,Lee Johnson Auto Family,405101,Lee Johnson Auto Group,Franchise,Franchise - Large,,Ryan LeClair,Cole Lancaster,WA,N,Painted Door Test,Y,,,,,,
,53811,0014S000007mhtUQAQ,Speedway Chevrolet,405101,Lee Johnson Auto Group,Franchise,Franchise - Large,,Ryan LeClair,Cole Lancaster,WA,N,Painted Door Test,Y,,,,,,
,279634,0014S000007meGsQAI,Subaru of Puyallup,367035,Harnish Auto Family,Franchise,Franchise - Large,,Ryan LeClair,Cole Lancaster,WA,N,Painted Door Test,Y,,,,,,
,433241,0014S000007mWYAQA2,Genesis of Kirkland,405101,Lee Johnson Auto Group,Franchise,Franchise - Large,,Ryan LeClair,Cole Lancaster,WA,N,Painted Door Test,N,Removed on 7/1,,,,,
,368892,0014S000007mfVMQAY,Covina Hills Chevrolet,375935,Abel Salazar Group,Franchise,Franchise - Large,Nathan Boucher,,David Nhan,CA,N,Painted Door Test,N,Removed on 7/1,,,,,
,459744,001PX00000RXqV0YAL,Alsbou Motors Santa Ana,433683,Alsbou Motors Group,Independent,Independent - Large,Nathan Boucher,,David Nhan,CA,N,Painted Door Test,Y,,,,,,
,284835,0014S000007md3JQAQ,Mark Miller Toyota,369274,Mark Miller Auto Group,Franchise,Franchise - Large,Caroline Wenndt,,Derek Fung,UT,N,Painted Door Test,Y,,,,,,
,431377,0014S000007mWNRQA2,AUTOS OF CHICAGO,431377,Autos of Chicago,Independent,Independent - Large,Mary Santry,,Ethan Blatt,IL,N,Painted Door Test,Y,,,,,,
,447168,0014S000008p5HcQAI,Carolina Luxury Imports Of Mooresville,455795,Carolina Luxury Imports Group,Independent,Independent - Large,Jeremy Sanchez,,Felipe Nunes,NC,N,Painted Door Test,Y,,,,,,
,279879,0014S000007maVKQAY,Mossy Motors,279879,Mossy Motors,Franchise,Franchise - Small,Bailey Bloyd,,Francesca Wilson,LA,N,Painted Door Test,N,Removed on 7/1,,,,,
,276171,0014S000007meyVQAQ,Gilland Chevrolet GMC,381014,Gilland Auto Group,Franchise,Franchise - Large,Noah Cooper,,George Rahmeh,AL,N,Painted Door Test,Y,,,,,,
,377067,0014S000007ml8tQAA,Underriner Honda of Walla Walla,380524,Underriner Motor Group,Franchise,Franchise - Large,Noah Cooper,,George Rahmeh,WA,N,Painted Door Test,Y,,,,,,
,101337,0014S000007mbxYQAQ,Pueblo Toyota,354420,Pueblo Dodge Toyota Stores,Franchise,Franchise - Small,Mia McAuliffe,,Jack Lavanchy,CO,N,Painted Door Test,Y,,,,,,
,50415,0014S000007mennQAA,Mossy of Picayune,430924,Mossy Nissan of Picayune,Franchise,Franchise - Small,Mia McAuliffe,,Jack Lavanchy,MS,N,Painted Door Test,Y,,,,,,
,54098,0014S000007mf7yQAA,South Coast Toyota,368856,David Wilson Automotive Group,Franchise,Franchise - Large,,Rob Mortenson,James Bunnell,CA,N,Painted Door Test,Y,,,,,,
,289989,0014S000007mdrMQAQ,Phelps Chevrolet,289989,Phelps Chevrolet,Franchise,Franchise - Small,Joan Steck,,John Sweeney,NC,N,Painted Door Test,N,Removed on 7/1,,,,,
,63494,0014S000007miSIQAY,Dutch Miller of Charleston,275259,Dutch Miller Auto Group,Franchise,Franchise - Large,Brendan Saur,,Jonathan Corkum,WV,N,Painted Door Test,N,Removed on 7/1,,,,,
,275253,0014S000007mgn9QAA,Dutch Miller Kia of Barboursville,275259,Dutch Miller Auto Group,Franchise,Franchise - Large,Brendan Saur,,Jonathan Corkum,WV,N,Painted Door Test,N,Removed on 7/1,,,,,
,306754,0014S000007mgMhQAI,Dutch Miller Subaru,275259,Dutch Miller Auto Group,Franchise,Franchise - Large,Brendan Saur,,Jonathan Corkum,WV,N,Painted Door Test,N,Removed on 7/1,,,,,
,61442,0014S000007mbXUQAY,"Cook Motorcars (Chrysler, Dodge, RAM)",148734,Cook Motorcars Limited,Franchise,Franchise - Small,Emma Lyons,,Jose Arana,MD,N,Painted Door Test,Y,,,,,,
,276248,0014S000007mfQoQAI,Mountain View Chevrolet,367525,Mountain View Auto Group,Franchise,Franchise - Large,Casey Smith,,Joseph Molk,TN,N,Painted Door Test,Y,,,,,,
,84329,0014S000007mfWjQAI,Ontario Volkswagen,410003,Ontario Automotive,Franchise,Franchise - Small,Bailey Bloyd,,Kevin Fitzmaurice,CA,N,Painted Door Test,Y,,,,,,
,379256,0014S000007mn8MQAQ,Prestige Motors Pasco,390897,Prestige Motors Group,Independent,Independent - Large,Katrina Zaid,,Kyle DiFilippo,WA,N,Painted Door Test,Y,,,,,,
,311039,0014S000007mfOAQAY,McGrath Acura of Downtown Chicago,408743,Mike McGrath Auto Group,Franchise,Franchise - Large,,Sean Gearin,Macy Babcock,IL,N,Painted Door Test,N,Removed on 7/1,,,,,
,54295,0014S000007mb0SQAQ,Orland Toyota,410994,Kowalis Auto Group,Franchise,Franchise - Large,Gabriel Andre,,Marc Cullen,IL,N,Painted Door Test,Y,,,,,,
,282140,0014S000007mcDBQAY,Lexus of Merrillville,410994,Kowalis Auto Group,Franchise,Franchise - Large,Gabriel Andre,,Marc Cullen,IN,N,Painted Door Test,N,Removed on 7/1,,,,,
,54554,0014S000007mbUZQAY,Casa Chevrolet GMC,379984,Casa Auto Group,Franchise,Franchise - Large,Dawnell Laurent,,Marc Hewett,NM,N,Painted Door Test,N,Removed on 7/1,,,,,
,290383,0014S000007maHiQAI,Carolina Auto Direct,452752,Carolina Auto Direct Group,Independent,Independent - Large,Jen Habib,,Mark Duly,NC,N,Painted Door Test,Y,,,,,,
,49920,0014S000007mgiIQAQ,Graff Chevrolet,376931,Hank Graff,Franchise,Franchise - Large,,Colleen Volpicelli,Mark Gushrowski,MI,N,Painted Door Test,Y,,,,,,
,283972,0014S000007mhDZQAY,Jaguar-Land Rover Lakeside,366889,Elder Auto Group,Franchise,Franchise - Large,,Colleen Volpicelli,Mark Gushrowski,MI,N,Painted Door Test,Y,,,,,,
,408480,0014S000007mUbkQAE,Graff Chrysler Dodge Jeep Ram of Rockford,376931,Hank Graff,Franchise,Franchise - Large,,Colleen Volpicelli,Mark Gushrowski,MI,N,Painted Door Test,N,Removed on 7/1,,,,,
,49888,0014S000007mdAOQAY,Graff Chevrolet of Sandusky,376931,Hank Graff,Franchise,Franchise - Large,,Colleen Volpicelli,Mark Gushrowski,MI,N,Painted Door Test,N,Removed on 7/1,,,,,
,49876,0014S000007mg2aQAA,Graff Chevrolet Durand,376931,Hank Graff,Franchise,Franchise - Large,,Colleen Volpicelli,Mark Gushrowski,MI,N,Painted Door Test,N,Removed on 7/1,,,,,
,114130,0014S000007mjxQQAQ,Kia of Fort Myers,462214,Bill Nero Auto group,Franchise,Franchise - Large,Sebastian Velandia,,Matt Gorman,FL,N,Painted Door Test,Y,,,,,,
,59980,0014S000007maJnQAI,Sunnyside Acura,59980,Sunnyside Acura,Franchise,Franchise - Small,Sebastian Velandia,,Matt Gorman,NH,N,Painted Door Test,Y,,,,,,
,434784,0014S000007mWuCQAU,Mercedes of Fort Walton Beach,389491,ZT Motors,Franchise,Franchise - Large,,Marc Cohen,Michael O'Farrell,FL,N,Painted Door Test,N,,,,,,
,287183,0014S000007mfDwQAI,Maus Acura of North Tampa,389491,ZT Motors,Franchise,Franchise - Large,,Marc Cohen,Michael O'Farrell,FL,N,Painted Door Test,Y,,,,,,
,297590,0014S000007meS4QAI,Maus Nissan,389491,ZT Motors,Franchise,Franchise - Large,,Marc Cohen,Michael O'Farrell,FL,N,Painted Door Test,N,Removed on 7/1,,,,,
,275971,0014S000007mfdNQAQ,Maus Nissan of North Tampa,389491,ZT Motors,Franchise,Franchise - Large,,Marc Cohen,Michael O'Farrell,FL,N,Painted Door Test,Y,,,,,,
,281789,0014S000007memiQAA,Toyota of Cleveland,368385,Bowers Automotive Group,Franchise,Franchise - Large,,Rachel Hroncic,Michael Price,TN,N,Painted Door Test,N,Removed on 7/1,,,,,
,458694,001PX00000O5MBlYAN,Mercedes Benz Palo Alto,402450,Swickard Auto Group,Franchise,Franchise - Large,,Joe Buttel,Michelle Ciricillo,CA,N,Painted Door Test,N,Removed on 7/1,,,,,
,63707,0014S000007mddaQAA,Lexus of Thousand Oaks,402450,Swickard Auto Group,Franchise,Franchise - Large,,Joe Buttel,Michelle Ciricillo,CA,N,Painted Door Test,N,Removed on 7/1,,,,,
,334007,0014S000007miojQAA,BMW of Eugene,402450,Swickard Auto Group,Franchise,Franchise - Large,,Joe Buttel,Michelle Ciricillo,OR,N,Painted Door Test,N,Removed on 7/1,,,,,
,400283,0014S00000AkrKZQAZ,Les Stanford Chevrolet,157248,Metro Detroit Dealers Marketing Association,Franchise,Franchise - Large,,Colleen Volpicelli,Patrick Balakas,MI,N,Painted Door Test,Y,,,,,,
,275282,0014S000007mdDjQAI,Modern INFINITI of Winston Salem,363100,Modern Automotive,Franchise,Franchise - Large,,Gabrielle Grondin,Patrick Van Hoose,NC,N,Painted Door Test,N,Removed on 7/1,,,,,
,275285,0014S000007mdEFQAY,Modern Nissan of Winston Salem,363100,Modern Automotive,Franchise,Franchise - Large,,Gabrielle Grondin,Patrick Van Hoose,NC,N,Painted Door Test,N,Removed on 7/1,,,,,
,342616,0014S000007mdXbQAI,Modern Ford of Boone,363100,Modern Automotive,Franchise,Franchise - Large,,Gabrielle Grondin,Patrick Van Hoose,NC,N,Painted Door Test,N,Removed on 7/1,,,,,
,370399,0014S000007mjySQAQ,Modern Mazda,363100,Modern Automotive,Franchise,Franchise - Large,,Gabrielle Grondin,Patrick Van Hoose,NC,N,Painted Door Test,Y,,,,,,
,380000,0014S000007mnCaQAI,Baja Autos East,406682,Newport Baja Auto Group,Independent,Independent - Large,Maryanne Lunt,,Rachel Fishman,NV,N,Painted Door Test,N,Removed on 7/1,,,,,
,334305,0014S000007maBbQAI,Ronnie Thompson Ford,334305,Ronnie Thompson Ford,Franchise,Franchise - Small,Ariana Capozzi,,Rafael Nunez-Bautista,GA,N,Painted Door Test,N,Removed on 7/1,,,,,
,277660,0014S000007mdjQQAQ,Pundmann Ford,277660,Pundmann Ford,Franchise,Franchise - Small,Ariana Capozzi,,Rafael Nunez-Bautista,MO,N,Painted Door Test,Y,,,,,,
,303618,0014S000007mbzmQAA,Cumming Chevrolet,303618,Cumming Chevrolet,Franchise,Franchise - Small,Nick Rudomin,,Reagan Grady,CA,N,Painted Door Test,N,Removed on 7/1,,,,,
,443635,0014S000007mZwCQAU,BMW of Napa Valley,368470,Premier Companies Auto Group,Franchise,Franchise - Large,,Jonathan Noller,Rebeca Cortazio,CA,N,Painted Door Test,N,Removed on 7/1,,,,,
,67710,0014S000007mcURQAY,Subaru of Keene,281164,Fenton Family Dealerships,Franchise,Franchise - Large,,Odalyz M. Guzman,Rebeca Cortazio,NH,N,Painted Door Test,Y,,,,,,
,59061,0014S000007mdlnQAA,Honda Of Keene,281164,Fenton Family Dealerships,Franchise,Franchise - Large,,Odalyz M. Guzman,Rebeca Cortazio,NH,N,Painted Door Test,Y,,,,,,
,382378,0014S000007mnYJQAY,Toyota of Keene,281164,Fenton Family Dealerships,Franchise,Franchise - Large,,Odalyz M. Guzman,Rebeca Cortazio,NH,N,Painted Door Test,N,Removed on 7/1,,,,,
,312994,0014S000007mfEhQAI,Hyundai of Keene,281164,Fenton Family Dealerships,Franchise,Franchise - Large,,Odalyz M. Guzman,Rebeca Cortazio,NH,N,Painted Door Test,Y,,,,,,
,273827,0014S000007mb2cQAA,Jeep Portsmouth,368470,Premier Companies Auto Group,Franchise,Franchise - Large,,Jonathan Noller,Rebeca Cortazio,NH,N,Painted Door Test,Y,,,,,,
,310521,0014S000007mgbqQAA,Palm Springs Subaru,462545,Hinkle Automotive Group,Franchise,Franchise - Small,Ariana Capozzi,,Robbie Caron,CA,N,Painted Door Test,N,Removed on 7/1,,,,,
,413115,0014S000007mVLMQA2,Mike White Ford Of Coeur d'Alene,451727,Mike White Ford Group,Franchise,Franchise - Small,Ariana Capozzi,,Robbie Caron,ID,N,Painted Door Test,Y,,,,,,
,325533,0014S000007mfrHQAQ,Honor Buick GMC,325533,Honor Buick GMC,Franchise,Franchise - Small,Kate Cooper,,Ryan Sullivan,CA,N,Painted Door Test,Y,,,,,,
,452465,0014S00000DEsOXQA1,CarFive Plaistow,444544,CarFive,Independent,Independent - Large,Vick Halwadjian,,Sam Kost,NH,N,Painted Door Test,Y,,,,,,
,436973,0014S000007mXpuQAE,Walts Live Oak CDJR,436993,Walts Live Oak Group,Franchise,Franchise - Small,Joan Steck,,Samuel Greenwald,FL,N,Painted Door Test,N,,,,,,
,340136,0014S000007mdiEQAQ,MINI of Montgomery County,341406,Passport Auto Group,Franchise,Franchise - Large,,Spencer Strittmatter,Sarah Wickline Jackson,MD,N,Painted Door Test,Y,,,,,,
,67590,0014S000007mdaxQAA,Jim Coleman Infiniti,376654,Jim Coleman Automotive,Franchise,Franchise - Large,,Spencer Strittmatter,Sarah Wickline Jackson,MD,N,Painted Door Test,Y,,,,,,
,283096,0014S000007mafLQAQ,Passport Toyota,341406,Passport Auto Group,Franchise,Franchise - Large,,Spencer Strittmatter,Sarah Wickline Jackson,MD,N,Painted Door Test,Y,,,,,,
